lag,K,N,sigma
1,1.073625671382015,23535,0.04442581521991918
2,0.9983550878032666,22677,0.04630514463613648
3,1.0896042361368472,21895,0.046872692870580004
4,0.993565928748476,21157,0.04691231664663803
5,0.8394190730332092,20351,0.04778560702609603
6,0.9758353139393227,19529,0.04787785207318147
7,0.9692807353489629,18675,0.04783435795723133
8,0.94307859435663,17961,0.048893663202513836
9,0.934662015022864,17194,0.05015548883085307
10,0.8856740486472203,16365,0.0515204438852609
11,0.9685376496102315,15608,0.05445692443687352
12,1.0088716668478122,14764,0.054850904298843206
13,0.8801754147177503,13887,0.05741056960917442
14,0.8086509826550636,11836,0.06185283176749307
15,0.8404547116215977,7512,0.0807292311741886
16,0.7819119029679813,10029,0.0670743776437933
17,0.9314517382936341,8733,0.07385273541072106
18,0.8573111799449371,9804,0.0687397806585706
19,0.8036808047156515,9141,0.07172067076299836
20,0.9200330094734844,8383,0.07438556317917913
21,0.8744813629581035,7699,0.07713675093605504
22,0.9080903720897944,6929,0.08384139653655547
23,0.8100675311390183,6148,0.09104696965907887
24,0.804636872327684,5340,0.09711551721507235
25,0.9165258145138311,4591,0.10582832201322961
26,1.0334407218004853,3817,0.11877013892948445
27,0.767084091216306,2999,0.12885823956114462
28,1.0246977763527945,2241,0.1476342999265043
29,1.0886667923886513,1459,0.17969322956520192
30,0.8414157811201696,778,0.2526821384705737
31,0.9459239521766054,541,0.2983536885902181
32,0.4722099810462457,290,0.43157385930114983
33,1.2044209612004932,130,0.7738797545064956
